Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Subiu?
2700000047683710.0,"2,60E+30",2559999942779540.0,2505000114440910.0,2375.0,"2,34E+30",2650000095367430.0,"2,35E+30","2,35E+30","2,21E+30",1995000004768370.0,2.0,"2,02E+30",1875.0,"1,80E+30",1995000004768370.0,"2,10E+30",2.25,"2,34E+30",2380000114440910.0,Sim
"2,60E+30",2559999942779540.0,2505000114440910.0,2375.0,"2,34E+30",2650000095367430.0,"2,35E+30","2,35E+30","2,21E+30",1995000004768370.0,2.0,"2,02E+30",1875.0,"1,80E+30",1995000004768370.0,"2,10E+30",2.25,"2,34E+30",2380000114440910.0,2470000028610220.0,Sim
2559999942779540.0,2505000114440910.0,2375.0,"2,34E+30",2650000095367430.0,"2,35E+30","2,35E+30","2,21E+30",1995000004768370.0,2.0,"2,02E+30",1875.0,"1,80E+30",1995000004768370.0,"2,10E+30",2.25,"2,34E+30",2380000114440910.0,2470000028610220.0,"2,42E+30",Sim
2505000114440910.0,2375.0,"2,34E+30",2650000095367430.0,"2,35E+30","2,35E+30","2,21E+30",1995000004768370.0,2.0,"2,02E+30",1875.0,"1,80E+30",1995000004768370.0,"2,10E+30",2.25,"2,34E+30",2380000114440910.0,2470000028610220.0,"2,42E+30","2,47E+30",Não
2375.0,"2,34E+30",2650000095367430.0,"2,35E+30","2,35E+30","2,21E+30",1995000004768370.0,2.0,"2,02E+30",1875.0,"1,80E+30",1995000004768370.0,"2,10E+30",2.25,"2,34E+30",2380000114440910.0,2470000028610220.0,"2,42E+30","2,47E+30",2490000009536740.0,Sim
"2,34E+30",2650000095367430.0,"2,35E+30","2,35E+30","2,21E+30",1995000004768370.0,2.0,"2,02E+30",1875.0,"1,80E+30",1995000004768370.0,"2,10E+30",2.25,"2,34E+30",2380000114440910.0,2470000028610220.0,"2,42E+30","2,47E+30",2490000009536740.0,"2,35E+30",Não
2650000095367430.0,"2,35E+30","2,35E+30","2,21E+30",1995000004768370.0,2.0,"2,02E+30",1875.0,"1,80E+30",1995000004768370.0,"2,10E+30",2.25,"2,34E+30",2380000114440910.0,2470000028610220.0,"2,42E+30","2,47E+30",2490000009536740.0,"2,35E+30",2375.0,Sim
"2,35E+30","2,35E+30","2,21E+30",1995000004768370.0,2.0,"2,02E+30",1875.0,"1,80E+30",1995000004768370.0,"2,10E+30",2.25,"2,34E+30",2380000114440910.0,2470000028610220.0,"2,42E+30","2,47E+30",2490000009536740.0,"2,35E+30",2375.0,"2,39E+30",Não
"2,35E+30","2,21E+30",1995000004768370.0,2.0,"2,02E+30",1875.0,"1,80E+30",1995000004768370.0,"2,10E+30",2.25,"2,34E+30",2380000114440910.0,2470000028610220.0,"2,42E+30","2,47E+30",2490000009536740.0,"2,35E+30",2375.0,"2,39E+30",2525000095367430.0,Sim
"2,21E+30",1995000004768370.0,2.0,"2,02E+30",1875.0,"1,80E+30",1995000004768370.0,"2,10E+30",2.25,"2,34E+30",2380000114440910.0,2470000028610220.0,"2,42E+30","2,47E+30",2490000009536740.0,"2,35E+30",2375.0,"2,39E+30",2525000095367430.0,2799999952316280.0,Sim
1995000004768370.0,2.0,"2,02E+30",1875.0,"1,80E+30",1995000004768370.0,"2,10E+30",2.25,"2,34E+30",2380000114440910.0,2470000028610220.0,"2,42E+30","2,47E+30",2490000009536740.0,"2,35E+30",2375.0,"2,39E+30",2525000095367430.0,2799999952316280.0,"2,98E+30",Não
2.0,"2,02E+30",1875.0,"1,80E+30",1995000004768370.0,"2,10E+30",2.25,"2,34E+30",2380000114440910.0,2470000028610220.0,"2,42E+30","2,47E+30",2490000009536740.0,"2,35E+30",2375.0,"2,39E+30",2525000095367430.0,2799999952316280.0,"2,98E+30",3.0,Sim
